,CustomerID,LoanPayoffPeriodInMonths,YrsatEmp,RequestedAmount,InterestRate,YearsInCurrentResidence,Age,NumberOfDependantsIncludingSelf,CurrentOpenLoanApplications,LoanReason_busin,LoanReason_goods,LoanReason_other,LoanReason_repairs,LoanReason_school,Co-App_guarant,Co-App_none,RentOwn_owned,RentOwn_rent,Emp_self,Emp_skilled,Emp_unskill,Checking_high,Checking_none,Checking_some,Savings_medium,Savings_none,Savings_some,Savings_v.high,Debts_paid,Results
0,2,9,4,3074,1,2,33,2,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
1,3,12,7,939,4,2,28,1,3,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0
2,4,9,7,2507,2,4,51,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
3,5,18,4,2238,2,1,25,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
4,6,24,4,5507,3,4,44,1,2,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
5,8,36,1,9034,4,1,29,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0
6,10,6,1,338,4,4,52,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
7,13,21,7,2745,3,2,32,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1
8,15,18,7,884,4,4,36,2,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
9,16,24,0,1333,4,2,43,2,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
10,21,22,7,1283,4,4,25,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
11,23,12,7,2141,3,1,35,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
12,24,24,7,2578,2,2,34,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
13,26,30,0,5234,4,2,28,1,2,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
14,28,12,0,1935,4,4,43,1,3,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
15,29,9,7,1437,2,3,29,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,1,0
16,31,18,7,1582,4,4,46,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1
17,32,33,4,2764,2,2,26,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
18,33,24,0,6314,4,2,27,1,2,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1
19,34,48,0,7582,2,4,31,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1
20,35,6,0,1198,4,4,35,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
21,36,24,1,1474,4,3,33,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,1,1
22,38,24,7,2197,4,4,43,2,2,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
23,39,48,4,6110,1,3,31,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
24,40,24,7,1585,4,3,40,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,1
25,41,24,1,937,4,3,27,1,2,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,1
26,42,18,1,3422,4,4,47,2,3,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1
27,43,18,4,1217,4,3,47,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
28,45,12,4,2149,4,1,29,1,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0
29,48,12,1,1330,4,1,26,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1
30,49,12,7,1108,4,3,28,1,2,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
31,50,24,7,12579,4,2,44,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
32,51,24,0,1193,1,4,29,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
33,52,10,4,1309,4,4,27,1,1,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0
34,53,12,4,719,4,4,41,2,1,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,0
35,55,18,0,750,4,1,27,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0
36,56,42,7,7166,2,4,29,1,1,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1
37,58,30,1,1919,4,3,30,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
38,60,12,1,697,4,2,46,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
39,61,15,7,2728,4,2,35,1,3,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1
40,62,9,7,5129,2,4,74,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0
41,63,18,4,866,4,2,25,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
42,65,36,4,4455,2,2,30,1,2,1,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0
43,67,12,7,2366,3,3,36,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1
44,68,30,7,3622,4,4,57,1,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,1,1
45,69,48,7,7476,4,1,50,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1
46,71,21,7,3976,2,3,35,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
47,72,24,1,8648,2,2,27,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
48,76,18,1,976,1,2,23,1,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,1,0
49,77,21,7,2782,1,2,31,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,1
50,79,21,7,1572,4,4,36,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1
51,80,24,4,3863,1,2,32,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1
52,83,12,0,1480,2,4,66,1,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
53,84,24,0,1935,4,4,31,1,2,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0
54,86,12,4,1620,2,3,30,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
55,87,48,7,10961,1,2,27,1,2,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0
56,88,10,7,894,4,3,40,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1
57,89,11,4,1322,4,4,40,1,2,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1
58,90,36,4,3620,1,2,37,2,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1
59,91,12,4,6199,4,2,28,1,2,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0
60,92,9,1,1422,3,2,27,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0
61,93,14,1,8978,1,4,45,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0
62,94,24,1,3345,4,2,39,1,1,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0
63,96,36,4,3711,2,2,27,1,1,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,0,0,1,1
64,98,18,4,1941,4,2,35,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1
65,100,18,4,1301,4,2,32,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1
66,101,36,4,5848,4,1,24,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,1,1
67,102,6,4,2978,1,2,32,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,1
68,103,36,0,10974,4,2,26,1,2,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,1,0
69,104,6,1,454,3,1,22,1,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1
70,106,18,4,3190,2,2,24,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
71,107,10,7,1347,4,2,27,1,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1
72,108,9,7,1199,4,4,67,1,2,0,0,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1
73,109,60,4,6527,4,4,34,2,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1
74,111,24,1,7721,1,2,30,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,1,1
75,112,36,1,3342,4,2,51,1,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1
76,114,36,4,5371,3,2,28,1,2,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1
77,115,24,1,3105,4,2,25,1,2,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1
78,116,12,7,2002,3,4,30,2,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1
79,118,15,7,802,4,3,37,2,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0
80,120,6,7,1346,2,4,42,2,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1
81,122,10,4,1521,4,2,31,1,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,0,1,1
82,126,12,0,2859,4,4,38,1,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,0,1,1
